iso2,announced_addresses,announced_addresses_naive,announced_prefixes,origin_asns,overlap_ratio
US,1316319808,1679113873,300655,22568,1.276
CN,278454528,415440932,66324,736,1.492
JP,162363968,187728644,12551,878,1.156
DE,116286208,125933580,21225,2892,1.083
GB,108476928,135998885,22482,2967,1.254
KR,107276288,160438898,21271,903,1.496
BR,76453056,117558240,63656,7837,1.538
FR,73108480,83784704,11039,1644,1.146
CA,53885696,80214123,39895,1903,1.489
IT,51888896,64592640,8670,1146,1.245
RU,43215488,65414697,39741,4592,1.514
AU,39737856,52866332,19270,1870,1.33
NL,39131280,47106739,13787,1651,1.204
TW,33144576,55868635,9600,305,1.686
IN,33112576,46203648,47105,3014,1.395
ES,30678784,39704864,15854,1276,1.294
SE,26366720,27995648,5817,825,1.062
EG,23780096,55175936,10045,73,2.32
MX,23180032,37802848,25287,436,1.631
ZA,22896896,38027008,11119,854,1.661
PL,18909440,23723008,7603,2177,1.255
AR,18692608,34020672,12565,1113,1.82
CO,16618240,21276640,9722,281,1.28
SG,16568576,25417968,9960,631,1.534
VN,16146688,44087296,16924,529,2.73
TR,15718148,26139948,12272,886,1.663
CH,14843392,22318096,4857,884,1.504
NO,14386176,16223746,1728,308,1.128
HK,14315904,26820897,15042,1097,1.874
FI,12728832,12815104,1536,310,1.007
MA,12256256,30767872,2442,32,2.51
DK,11474944,11568192,1774,382,1.008
ID,11354624,20000000,21654,2846,1.761
SA,10510592,20009472,9905,177,1.904
AT,10490880,12776704,3358,723,1.218
IR,10100736,18579456,8456,639,1.839
BE,9971456,13466880,1765,336,1.351
CZ,9105920,12173568,4627,1316,1.337
CL,8539680,12014880,4551,327,1.407
TH,8513280,20217872,11208,481,2.375
UA,8203520,11798016,11256,1867,1.438
SC,7806464,11327744,16868,728,1.451
TN,7789312,18596864,1204,29,2.387
IE,7222016,9684736,1646,242,1.341
IL,7139328,11677696,4382,387,1.636
RO,7099136,8466240,6575,1049,1.193
PT,6649600,8546048,891,130,1.285
AE,6133248,13202432,8795,1306,2.153
MY,5893376,14241792,2975,283,2.417
PH,5864448,10160384,5543,489,1.733
VE,5815040,6691584,2460,127,1.151
HU,5762304,6719520,1735,331,1.166
GR,5640192,10316800,1876,249,1.829
PK,5182464,9798912,5941,340,1.891
NZ,4846336,5348608,3106,463,1.104
DZ,4756736,8999680,984,13,1.892
KE,4579072,7922944,2606,227,1.73
BG,4099328,5955605,8174,952,1.453
LT,3632128,4413184,4663,493,1.215
MU,3604736,6090496,914,54,1.69
PE,3170304,5639424,3270,122,1.779
KZ,3123456,6555392,6767,193,2.099
SI,2642688,3747072,881,313,1.418
SK,2627840,3530240,861,202,1.343
UY,2442240,6026752,883,29,2.468
NG,2397696,3233792,3028,244,1.349
HR,2323456,2750464,875,169,1.184
EC,2279168,4806208,3313,187,2.109
RS,2242816,2829824,1449,239,1.262
CR,2235648,4811264,3693,83,2.152
PA,2102784,4914688,3268,114,2.337
BD,1943808,3161088,7906,1564,1.626
LV,1765632,1962576,1518,297,1.112
BY,1707264,2551552,1144,105,1.495
KW,1684480,4034048,2190,82,2.395
ZM,1648640,2512896,337,28,1.524
DO,1617920,3276032,1439,73,2.025
GH,1509376,2346496,841,103,1.555
LU,1362944,1530631,1577,134,1.123
CI,1305088,2146304,1346,38,1.645
GE,1274112,1587976,784,187,1.246
AO,1271552,1967360,652,66,1.547
EE,1264384,1326080,881,225,1.049
CY,1243136,2139904,1635,233,1.721
UG,1156352,1360384,697,60,1.176
BO,1151744,2085120,1082,53,1.81
SY,1142272,1154560,502,7,1.011
MD,1125120,1900288,955,133,1.689
PY,1088256,1784832,891,79,1.64
IS,852736,925440,283,67,1.085
QA,839168,1114368,333,19,1.328
OM,828672,1832704,954,15,2.212
PS,809984,1271296,879,70,1.57
SD,803328,2142976,542,10,2.668
BA,786432,1238016,634,52,1.574
PR,731648,1068544,950,118,1.46
TZ,676352,1075200,1126,107,1.59
AZ,653824,882688,1042,112,1.35
MK,651264,1098757,425,59,1.687
MT,641024,1679488,586,43,2.62
JO,627456,1098240,1842,74,1.75
SV,601600,941568,1105,51,1.565
LK,594432,924416,462,21,1.555
GT,573696,909824,933,65,1.586
MG,573696,1420288,424,6,2.476
NP,566272,1571584,1145,147,2.775
AM,541440,701952,963,164,1.296
TT,538368,843520,381,16,1.567
LB,525824,656896,1445,153,1.249
HN,520704,717824,831,94,1.379
AL,487680,837632,925,125,1.718
NA,472832,745728,366,17,1.577
MZ,450816,1402624,870,34,3.111
LY,444160,510720,537,23,1.15
KH,421120,1099008,2153,106,2.61
BH,410368,1117696,1233,22,2.724
RE,401920,425984,102,7,1.06
SN,390656,1290240,344,12,3.303
IQ,382464,512000,1287,158,1.339
ET,368640,1276672,536,7,3.463
NI,348160,521216,390,21,1.497
GA,347392,544256,100,12,1.567
TG,340224,532992,111,9,1.567
MO,337152,828160,135,14,2.456
UZ,294912,354352,510,69,1.202
BF,280832,364800,597,29,1.299
KG,279040,500736,441,44,1.794
GM,271616,355328,106,9,1.308
VG,265728,313344,644,151,1.179
RW,262400,485120,269,23,1.849
CU,256256,366080,70,3,1.429
CM,240128,368128,581,22,1.533
MW,239360,393216,420,27,1.643
YE,228864,235008,150,6,1.027
GU,217856,386048,93,10,1.772
JM,211968,271872,392,20,1.283
MM,201216,329216,812,126,1.636
EU,196864,209152,8,6,1.062
ME,191488,208896,110,29,1.091
CW,176384,357632,319,23,2.028
MN,167680,172289,409,56,1.027
AG,166912,246016,369,29,1.474
BW,162560,271616,279,32,1.671
NC,152832,158720,77,21,1.039
HT,151296,330240,252,6,2.183
AF,147968,173312,564,64,1.171
BJ,143616,233728,184,18,1.627
FJ,139776,206336,158,15,1.476
CG,137728,197376,112,14,1.433
BN,136960,230400,263,7,1.682
BB,133632,160768,405,16,1.203
MQ,132864,332032,153,6,2.499
BS,130560,217088,108,9,1.663
VI,129024,249344,91,7,1.933
BZ,124928,208128,166,49,1.666
GP,121600,133888,25,5,1.101
LS,120576,176896,65,7,1.467
IM,118016,199168,198,28,1.688
GI,111104,137472,244,39,1.237
LI,97280,100096,62,31,1.029
LA,93440,171264,329,33,1.833
ZW,93184,182272,313,31,1.956
BM,89088,129280,160,18,1.451
MV,88064,148992,238,13,1.692
JE,84992,93984,97,14,1.106
SR,81408,423168,419,5,5.198
TJ,80640,125696,265,34,1.559
ML,79360,117504,169,7,1.481
CD,79104,89088,287,50,1.126
GG,79104,92704,90,9,1.172
PF,73472,131072,249,5,1.784
AW,73216,73728,127,3,1.007
SL,69376,108032,76,16,1.557
GY,67584,109824,87,6,1.625
MC,62464,62464,22,6,1.0
AD,62208,86272,63,2,1.387
PG,59392,97536,187,32,1.642
KY,54016,56064,71,11,1.038
SZ,53760,83968,113,12,1.562
MR,48640,81920,118,9,1.684
BT,48640,74496,86,25,1.532
FO,45056,45312,15,4,1.006
DJ,43776,45056,68,3,1.029
SO,42496,48640,169,19,1.145
SM,39936,48896,120,14,1.224
NE,38656,69376,121,10,1.795
CV,37376,69632,44,7,1.863
GL,34304,36352,26,1,1.06
LR,34304,52480,88,14,1.53
SX,33792,45312,54,3,1.341
GN,33536,37888,83,14,1.13
BI,27904,67072,97,6,2.404
BQ,24832,36864,37,7,1.485
TL,23808,36352,99,14,1.527
SS,22272,37120,91,20,1.667
TM,22272,27136,27,6,1.218
