iso2,traces,reached,median_rtt,reach_rate
US,69780,61077,143.5,0.875
CN,14906,13513,307.5,0.907
JP,8746,6994,240.8,0.8
DE,6243,3769,161.3,0.604
KR,5802,4163,251.4,0.718
GB,5650,3313,117.4,0.586
BR,4021,1903,204.2,0.473
FR,3960,2534,147.7,0.64
CA,2923,1894,173.1,0.648
IT,2707,1601,167.3,0.591
RU,2323,1780,205.4,0.766
NL,2156,1460,159.4,0.677
AU,2137,1650,261.9,0.772
IN,1774,1116,248.1,0.629
TW,1729,1525,216.0,0.882
ES,1710,1014,163.6,0.593
SE,1383,1032,177.2,0.746
EG,1267,716,191.8,0.565
ZA,1230,882,244.2,0.717
MX,1230,883,187.7,0.718
PL,1025,573,168.6,0.559
AR,975,593,236.7,0.608
CO,903,349,185.1,0.386
TR,891,538,193.2,0.604
SG,868,330,236.5,0.38
VN,838,743,262.3,0.887
CH,804,591,158.6,0.735
NO,781,570,175.0,0.73
HK,771,525,203.1,0.681
FI,728,526,181.2,0.723
MA,646,409,181.0,0.633
DK,608,309,169.9,0.508
ID,595,478,232.1,0.803
AT,569,428,170.9,0.752
IR,562,37,235.4,0.066
SA,549,256,216.0,0.466
CZ,532,333,174.3,0.626
BE,492,314,165.4,0.638
TH,487,437,255.9,0.897
SC,470,126,201.5,0.268
CL,438,293,210.2,0.669
UA,438,251,178.0,0.573
RO,429,198,179.1,0.462
PT,407,234,164.4,0.575
TN,392,97,169.1,0.247
IL,377,203,197.6,0.538
IE,368,175,162.2,0.476
AE,340,225,229.6,0.662
VE,327,74,177.1,0.226
HU,318,229,180.5,0.72
MY,311,113,195.7,0.363
PH,298,247,229.7,0.829
GR,281,205,192.9,0.73
PK,269,107,282.4,0.398
NZ,264,181,276.4,0.686
DZ,262,57,178.9,0.218
KE,236,194,317.6,0.822
BG,217,156,177.1,0.719
MU,213,97,219.6,0.455
LT,193,126,180.5,0.653
PE,169,21,207.8,0.124
NG,155,73,244.1,0.471
KZ,149,136,255.9,0.913
UY,149,111,238.8,0.745
SI,134,96,170.2,0.716
CR,134,26,189.3,0.194
BD,133,93,255.5,0.699
SK,129,79,175.3,0.612
HR,125,80,135.3,0.64
RS,118,91,177.9,0.771
EC,105,46,192.9,0.438
PA,101,63,170.9,0.624
KW,94,30,198.9,0.319
DO,93,40,181.7,0.43
ZM,90,12,309.3,0.133
BY,89,89,196.0,1.0
LV,86,47,188.9,0.547
GE,77,61,255.3,0.792
CI,76,43,248.7,0.566
GH,75,33,255.4,0.44
LU,69,40,160.2,0.58
SY,65,13,200.0,0.2
MD,65,58,197.0,0.892
CY,64,39,215.6,0.609
PY,62,30,244.0,0.484
AO,62,33,220.7,0.532
EE,60,37,190.6,0.617
UG,59,49,341.5,0.831
BO,57,45,227.4,0.789
IS,52,28,200.6,0.538
BA,45,27,182.7,0.6
PR,45,19,177.3,0.422
TZ,44,24,366.4,0.545
MT,43,25,184.9,0.581
SD,42,21,218.7,0.5
QA,40,33,215.7,0.825
OM,38,23,219.8,0.605
NP,37,32,255.5,0.865
AZ,35,20,209.1,0.571
MK,34,24,190.1,0.706
LK,33,29,291.8,0.879
MG,29,27,321.2,0.931
JO,29,12,211.2,0.414
GT,28,8,166.1,0.286
PS,28,5,158.5,0.179
LB,27,9,194.4,0.333
SV,26,9,209.7,0.346
AM,26,19,175.9,0.731
RE,26,17,206.8,0.654
HN,25,11,152.3,0.44
AL,25,12,243.9,0.48
MZ,24,12,355.1,0.5
GA,24,4,234.8,0.167
IQ,24,4,231.1,0.167
MO,22,19,256.2,0.864
TT,21,17,168.3,0.81
NA,21,20,300.5,0.952
BH,20,9,219.1,0.45
UZ,20,16,146.9,0.8
ET,19,0,235.8,0.0
GM,19,6,208.5,0.316
TG,17,8,155.9,0.471
NI,17,3,199.8,0.176
LY,17,17,196.7,1.0
KH,16,8,311.5,0.5
BF,16,6,177.1,0.375
VG,16,8,233.9,0.5
CM,15,9,213.8,0.6
KG,15,12,302.8,0.8
EU,14,0,149.2,0.0
JM,14,6,141.7,0.429
RW,14,5,205.0,0.357
SN,13,8,277.2,0.615
YE,13,12,253.1,0.923
BW,12,11,420.0,0.917
CU,12,12,229.1,1.0
CG,11,2,284.5,0.182
MM,11,6,239.7,0.545
GU,10,9,294.2,0.9
BN,10,9,273.8,0.9
BB,10,3,149.1,0.3
AG,9,5,184.0,0.556
MN,9,8,349.1,0.889
ME,8,1,273.8,0.125
MQ,8,8,170.4,1.0
FJ,8,4,294.0,0.5
GI,8,3,222.9,0.375
BZ,8,4,142.6,0.5
IM,8,5,145.0,0.625
ZW,7,5,196.6,0.714
LA,7,5,233.4,0.714
NC,7,6,383.9,0.857
MW,7,5,210.2,0.714
GP,7,6,150.2,0.857
LS,7,5,191.9,0.714
BJ,6,6,199.1,1.0
AF,6,3,268.4,0.5
CW,6,4,233.9,0.667
MC,6,5,252.9,0.833
BS,6,4,168.4,0.667
